sample_id,group,model,sloc,nom,wmc,nof,n_smells,td_density,smell_LongMethod,smell_HighComplexity,smell_ComplexConditional,smell_GodClass,smell_LongParamList,smell_DeepNesting,smell_Duplicate,dup_logic,dup_echo,n_smells_logic,density_logic
ClassEval_0,AI,Qwen2.5-Coder-1.5B,28,5,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_1,AI,Qwen2.5-Coder-1.5B,13,6,6,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_2,AI,Qwen2.5-Coder-1.5B,26,5,10,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_3,AI,Qwen2.5-Coder-1.5B,19,6,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_4,AI,Qwen2.5-Coder-1.5B,46,7,21,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_5,AI,Qwen2.5-Coder-1.5B,19,3,10,1,1,52.631578947368425,0,0,0,0,0,1,0,0,0,1,52.63157894736842
ClassEval_6,AI,Qwen2.5-Coder-1.5B,17,3,5,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_7,AI,Qwen2.5-Coder-1.5B,15,3,8,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_8,AI,Qwen2.5-Coder-1.5B,18,5,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_9,AI,Qwen2.5-Coder-1.5B,49,3,19,0,1,20.408163265306122,0,0,0,0,0,0,1,1,0,1,20.408163265306122
ClassEval_10,AI,Qwen2.5-Coder-1.5B,15,5,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_11,AI,Qwen2.5-Coder-1.5B,17,4,13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_12,AI,Qwen2.5-Coder-1.5B,19,4,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_13,AI,Qwen2.5-Coder-1.5B,18,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_14,AI,Qwen2.5-Coder-1.5B,22,7,7,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_15,AI,Qwen2.5-Coder-1.5B,20,4,9,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_16,AI,Qwen2.5-Coder-1.5B,39,4,18,1,1,25.641025641025642,0,1,0,0,0,0,0,0,0,1,25.64102564102564
ClassEval_17,AI,Qwen2.5-Coder-1.5B,18,7,11,1,1,55.55555555555556,0,0,0,0,0,1,0,0,0,1,55.55555555555555
ClassEval_18,AI,Qwen2.5-Coder-1.5B,17,8,12,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_19,AI,Qwen2.5-Coder-1.5B,18,3,9,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_20,AI,Qwen2.5-Coder-1.5B,13,5,7,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_21,AI,Qwen2.5-Coder-1.5B,33,5,16,2,1,30.3030303030303,0,0,1,0,0,0,0,0,0,1,30.303030303030305
ClassEval_22,AI,Qwen2.5-Coder-1.5B,10,3,4,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_23,AI,Qwen2.5-Coder-1.5B,42,6,20,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_24,AI,Qwen2.5-Coder-1.5B,16,5,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_25,AI,Qwen2.5-Coder-1.5B,21,4,9,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_26,AI,Qwen2.5-Coder-1.5B,23,4,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_27,AI,Qwen2.5-Coder-1.5B,19,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_28,AI,Qwen2.5-Coder-1.5B,30,5,5,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_29,AI,Qwen2.5-Coder-1.5B,14,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_30,AI,Qwen2.5-Coder-1.5B,17,7,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_31,AI,Qwen2.5-Coder-1.5B,6,4,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_32,AI,Qwen2.5-Coder-1.5B,42,4,15,1,1,23.809523809523807,0,0,0,0,0,0,1,1,0,1,23.809523809523807
ClassEval_33,AI,Qwen2.5-Coder-1.5B,11,6,6,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_34,AI,Qwen2.5-Coder-1.5B,37,6,14,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_35,AI,Qwen2.5-Coder-1.5B,52,5,22,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_36,AI,Qwen2.5-Coder-1.5B,24,6,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_37,AI,Qwen2.5-Coder-1.5B,41,4,14,1,1,24.390243902439025,0,0,0,0,0,0,1,1,0,1,24.390243902439025
ClassEval_38,AI,Qwen2.5-Coder-1.5B,29,4,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_39,AI,Qwen2.5-Coder-1.5B,11,7,7,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_40,AI,Qwen2.5-Coder-1.5B,28,4,11,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_41,AI,Qwen2.5-Coder-1.5B,32,5,19,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_42,AI,Qwen2.5-Coder-1.5B,29,5,14,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_43,AI,Qwen2.5-Coder-1.5B,25,6,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_44,AI,Qwen2.5-Coder-1.5B,30,4,8,9,1,33.333333333333336,0,0,0,0,0,0,1,0,1,0,0.0
ClassEval_45,AI,Qwen2.5-Coder-1.5B,14,6,6,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_46,AI,Qwen2.5-Coder-1.5B,20,3,15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_47,AI,Qwen2.5-Coder-1.5B,21,4,12,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_48,AI,Qwen2.5-Coder-1.5B,16,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_49,AI,Qwen2.5-Coder-1.5B,18,7,15,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_50,AI,Qwen2.5-Coder-1.5B,26,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_51,AI,Qwen2.5-Coder-1.5B,19,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_52,AI,Qwen2.5-Coder-1.5B,28,4,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_53,AI,Qwen2.5-Coder-1.5B,13,3,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_54,AI,Qwen2.5-Coder-1.5B,54,6,31,3,1,18.51851851851852,0,0,0,0,0,0,1,0,1,0,0.0
