producer,analysed,parse_fail,test_fail,pass_clean,pass_smelly,pass_rate,smell_rate_passing,density_passing,density_failing
Human,100,0,6,77,17,0.94,0.18085106382978725,8.976491286502677,5.649717514124294
GPT-4-Turbo,99,1,63,32,4,0.36363636363636365,0.1111111111111111,4.182794329853154,2.2747029846421323
DeepSeek-Coder,100,0,74,25,1,0.26,0.038461538461538464,1.8315018315018312,4.425408471952843
StarCoder-15B,100,0,89,8,3,0.11,0.2727272727272727,13.633697680618502,1.736162348658923
InstructCodeGen-16B,99,1,94,4,1,0.050505050505050504,0.2,7.407407407407407,4.277905213705423
Magicoder-6.7B,100,0,79,20,1,0.21,0.047619047619047616,1.9841269841269837,6.230556163936958
CodeLlama-13B,95,5,75,17,3,0.21052631578947367,0.15,5.095238095238095,6.909288409288409
GPT-3.5-Turbo,97,3,72,21,4,0.25773195876288657,0.16,6.901595420777005,7.851353091595636
Gemini-Pro,94,6,63,24,7,0.32978723404255317,0.22580645161290322,12.363113516775476,9.89562301333245
WizardCoder-15B,53,47,46,6,1,0.1320754716981132,0.14285714285714285,6.4935064935064934,10.876956443663909
CodeGeeX2-6B,46,54,38,6,2,0.17391304347826086,0.25,13.93188854489164,32.26083245183415
PolyCoder-2.7B,100,0,100,0,0,0.0,,,5.309916691495638
SantaCoder-1.1B,100,0,100,0,0,0.0,,,27.525388931987596
