sample_id,group,model,sloc,nom,wmc,nof,n_smells,td_density,smell_LongMethod,smell_HighComplexity,smell_ComplexConditional,smell_GodClass,smell_LongParamList,smell_DeepNesting,smell_Duplicate
ClassEval_0,Human,Human,33,5,12,0,0,0.0,0,0,0,0,0,0,0
ClassEval_1,Human,Human,13,6,6,1,0,0.0,0,0,0,0,0,0,0
ClassEval_2,Human,Human,33,5,14,3,1,30.3030303030303,0,0,0,0,0,1,0
ClassEval_3,Human,Human,29,6,13,1,0,0.0,0,0,0,0,0,0,0
ClassEval_4,Human,Human,39,7,20,1,0,0.0,0,0,0,0,0,0,0
ClassEval_5,Human,Human,23,3,8,1,1,43.47826086956522,0,0,0,0,0,1,0
ClassEval_6,Human,Human,15,3,4,2,0,0.0,0,0,0,0,0,0,0
ClassEval_7,Human,Human,26,3,15,4,2,76.92307692307692,0,1,0,0,0,1,0
ClassEval_8,Human,Human,20,5,8,1,0,0.0,0,0,0,0,0,0,0
ClassEval_9,Human,Human,56,3,17,0,0,0.0,0,0,0,0,0,0,0
ClassEval_10,Human,Human,27,5,7,1,0,0.0,0,0,0,0,0,0,0
ClassEval_11,Human,Human,18,4,8,0,0,0.0,0,0,0,0,0,0,0
ClassEval_12,Human,Human,44,4,18,3,2,45.45454545454546,0,0,0,0,0,2,0
ClassEval_13,Human,Human,19,5,10,1,0,0.0,0,0,0,0,0,0,0
ClassEval_14,Human,Human,24,7,7,2,0,0.0,0,0,0,0,0,0,0
ClassEval_15,Human,Human,23,4,10,4,0,0.0,0,0,0,0,0,0,0
ClassEval_16,Human,Human,43,4,20,1,2,46.51162790697675,0,1,0,0,0,1,0
ClassEval_17,Human,Human,38,7,18,1,0,0.0,0,0,0,0,0,0,0
ClassEval_18,Human,Human,20,8,10,1,0,0.0,0,0,0,0,0,0,0
ClassEval_19,Human,Human,22,3,9,2,0,0.0,0,0,0,0,0,0,0
ClassEval_20,Human,Human,25,5,10,1,0,0.0,0,0,0,0,0,0,0
ClassEval_21,Human,Human,28,5,14,2,0,0.0,0,0,0,0,0,0,0
ClassEval_22,Human,Human,33,6,14,2,0,0.0,0,0,0,0,0,0,0
ClassEval_23,Human,Human,29,6,14,1,0,0.0,0,0,0,0,0,0,0
ClassEval_24,Human,Human,21,5,5,0,0,0.0,0,0,0,0,0,0,0
ClassEval_25,Human,Human,21,5,10,2,0,0.0,0,0,0,0,0,0,0
ClassEval_26,Human,Human,24,4,10,0,0,0.0,0,0,0,0,0,0,0
ClassEval_27,Human,Human,22,5,10,1,0,0.0,0,0,0,0,0,0,0
ClassEval_28,Human,Human,34,5,7,1,0,0.0,0,0,0,0,0,0,0
ClassEval_29,Human,Human,16,3,6,0,0,0.0,0,0,0,0,0,0,0
ClassEval_30,Human,Human,15,7,7,1,0,0.0,0,0,0,0,0,0,0
ClassEval_31,Human,Human,28,4,16,0,0,0.0,0,0,0,0,0,0,0
ClassEval_32,Human,Human,51,4,21,1,1,19.607843137254903,0,1,0,0,0,0,0
ClassEval_33,Human,Human,24,6,13,4,0,0.0,0,0,0,0,0,0,0
ClassEval_34,Human,Human,41,6,12,1,0,0.0,0,0,0,0,0,0,0
ClassEval_35,Human,Human,46,5,21,2,1,21.73913043478261,0,0,0,0,0,1,0
ClassEval_36,Human,Human,37,6,15,3,0,0.0,0,0,0,0,0,0,0
ClassEval_37,Human,Human,41,4,18,1,0,0.0,0,0,0,0,0,0,0
ClassEval_38,Human,Human,37,4,12,0,0,0.0,0,0,0,0,0,0,0
ClassEval_39,Human,Human,80,7,35,2,4,50.0,0,1,0,0,0,3,0
ClassEval_40,Human,Human,29,4,10,5,0,0.0,0,0,0,0,0,0,0
ClassEval_41,Human,Human,33,4,17,3,1,30.3030303030303,0,0,0,0,0,1,0
ClassEval_42,Human,Human,32,5,14,3,0,0.0,0,0,0,0,0,0,0
